2227734,110,FOR,82,11,13837
2227764,100,BUI,28,12,24000
2227764,100,CHE,28,12,24000
2227775,100,LIN,70,16,53494
2227775,100,LIN,70,16,53494
2227845,100,HON,32,15,135000
2227885,100,CHR,49,12,48516
2227914,100,SUB,41,15,151588
2227914,110,FOR,41,15,151588
2227944,110,GMC,39,15,89769
2227984,100,HON,75,12,1097
2228024,110,CHE,36,13,42000
2228024,110,FOR,36,13,42000
2228024,110,NIS,36,13,42000
2228034,110,TOY,39,15,33900
2228075,110,DOD,49,12,28775
2228075,100,FOR,49,12,28775
2228094,110,HON,47,15,118197
2228094,110,TOY,47,15,118197
2228094,100,TOY,47,15,118197
2228105,110,DOD,51,12,33333
2228124,100,TOY,44,12,0
2228194,100,TOY,75,12,18013
2228225,100,PON,44,15,67000
2228225,110,CHR,44,15,67000
2228234,100,HON,62,12,0
2228244,100,FOR,56,12,85997
2228244,110,FOR,56,12,85997
2228254,100,HON,65,11,50674
2228254,110,CHE,65,11,50674
2228274,100,FOR,50,12,16848
2228325,110,FOR,43,14,84040
2228355,100,DOD,62,16,75000
2228355,100,MRB,62,16,75000
2228355,100,MRB,62,16,75000
2228375,110,CHR,53,12,102150
2228375,100,BUI,53,12,102150
2228375,110,GMC,53,12,102150
2228415,100,MEC,47,13,44924
2228434,100,CHE,39,12,84000
2228434,110,FOR,39,12,84000
2228445,110,FOR,22,12,37186
2228455,110,CHE,69,16,25834
2228455,110,PLY,69,16,25834
2228464,110,ACU,81,15,185159
2228464,100,CHR,81,15,185159
2228464,100,CAD,81,15,185159
2228614,100,FOR,50,14,1130
2228635,110,JEE,46,13,15500
2228705,100,MEC,76,13,14217
2228715,100,CHR,52,12,0
2228715,100,NIS,52,12,0
2228735,110,JEE,22,12,31895
2228784,110,GMC,55,12,24072
2228825,110,FOR,43,11,34400
2228855,110,MIT,27,15,49800
2228874,110,GMC,58,11,12497
2228904,110,HON,42,15,0
2228904,110,CHE,42,15,0
2228915,110,TOY,42,10,28108
2228944,100,ACU,56,12,55000
2228974,110,TOY,37,16,50100
2228974,110,CHE,37,16,50100
2228985,110,CHE,51,13,26305
2228985,110,DOD,51,13,26305
2228985,100,NIS,51,13,26305
2229045,100,PON,28,13,35000
2229045,110,CHE,28,13,35000
2229094,100,KIA,50,0,9480
2229144,110,MAZ,51,15,48000
2229165,100,HON,26,12,16500
2229165,110,CHE,26,12,16500
2229264,110,FOR,47,11,41185
2229275,110,HON,67,14,41637
2229315,110,NIS,46,16,179350
2229315,100,HON,46,16,179350
2229355,100,MEC,73,16,72878
2229365,110,TOY,59,14,45000
2229365,110,FOR,59,14,45000
2229374,100,HYU,51,15,43563
2229374,100,TOY,51,15,43563
2229384,100,TOY,28,13,32000
2229405,110,FOR,35,13,35000
2229405,100,HON,35,13,35000
2229414,110,CHE,33,12,60640
2229414,100,HON,33,12,60640
2229424,100,TOY,62,16,0
2229424,110,FOR,62,16,0
2229435,110,CHR,39,13,18770
2229505,110,TOY,60,15,44027
2229544,100,BUI,40,13,0
2229544,100,PON,40,13,0
2229585,110,LEX,39,16,297022
2229585,100,SUB,39,16,297022
2229634,100,CHE,28,16,48534
2229634,100,CHE,28,16,48534
2229634,100,CHE,28,16,48534
2229675,100,HON,37,12,25984
2229694,100,TOY,78,13,24014
2229694,100,TOY,78,13,24014
2229724,100,DOD,25,13,13900
2229794,100,PON,69,15,64230
2229794,100,MEC,69,15,64230
2229794,100,CHE,69,15,64230
2229794,110,FOR,69,15,64230
2229815,100,CHE,53,12,48757
2229815,100,CHR,53,12,48757
2229824,100,CAD,68,16,11582
2229835,100,MEC,74,13,22874
2229835,100,CHR,74,13,22874
2229844,100,CHE,73,12,50150
2229905,100,LEX,45,15,104907
2229905,110,TOY,45,15,104907
2229924,100,DOD,35,14,71500
2229924,110,DOD,35,14,71500
2229924,110,FOR,35,14,71500
2229934,110,DOD,29,11,7605
2229955,110,HYU,42,13,103150
2229955,110,CHE,42,13,103150
2229975,100,TOY,76,12,22627
2229975,110,FOR,76,12,22627
2230034,100,HON,45,12,0
2230175,100,HON,62,15,47757
2230175,110,FOR,62,15,47757
2230175,110,FOR,62,15,47757
2230214,100,HYU,54,17,137000
2230235,110,GMC,41,14,66714
2230255,100,HON,33,15,90000
2230294,110,CHE,27,14,9950
2230294,100,PON,27,14,9950
2230305,110,FOR,53,12,0
2230315,100,TOY,61,12,42242
2230324,100,INF,24,13,89364
2230324,110,FOR,24,13,89364
2230324,110,FOR,24,13,89364
2230335,100,TOY,82,13,15264
2230354,100,BUI,39,12,10133
2230365,100,SAT,30,17,277491
2230414,110,FOR,64,11,19109
2230414,110,GMC,64,11,19109
2230434,100,TOY,72,12,12533
2230565,110,GMC,52,15,134987
2230565,110,CHE,52,15,134987
2230595,110,TOY,79,12,2314
2230625,100,CHE,53,13,9043
2230625,110,CHE,53,13,9043
2230654,110,ISU,46,15,32465
2230654,100,AUD,46,15,32465
2230675,110,CHE,73,12,25716
2230704,110,FOR,41,14,23160
2230755,100,FOR,45,12,4500
2230775,100,HYU,35,12,0
2230775,110,CHE,35,12,0
2230785,100,VOK,76,14,129657
2230785,100,KIA,76,14,129657
2230785,110,FOR,76,14,129657
2230814,100,CHE,52,12,124354
2230814,110,HON,52,12,124354
2230814,100,CHE,52,12,124354
2230825,100,OLD,71,13,25157
2230834,100,FOR,44,12,120730
2230834,110,DOD,44,12,120730
2230844,100,KIA,47,15,70807
2230844,100,CHR,47,15,70807
2230895,110,NIS,48,12,200100
2230905,100,LIN,87,16,-193
2230955,100,CHR,31,15,54860
2230955,100,PON,31,15,54860
2230965,100,PON,45,13,89688
2230965,100,VOK,45,13,89688
2230965,110,FOR,45,13,89688
2230984,100,BUI,87,12,9377
2230994,100,CHE,70,15,59640
2230994,100,TOY,70,15,59640
2230994,100,CHE,70,15,59640
2231015,100,VOK,54,16,285932
2231015,100,DOD,54,16,285932
2231015,110,JEE,54,16,285932
2231045,100,LIN,76,12,17793
2231075,110,GMC,65,13,11953
2231104,110,TOY,60,15,7013
2231104,100,FOR,60,15,7013
2231104,100,TOY,60,15,7013
2231104,110,TOY,60,15,7013
2231124,100,NIS,29,15,48070
2231124,110,CHE,29,15,48070
2231145,110,JEE,68,10,48734
2231145,110,JEE,68,10,48734
2231145,110,GMC,68,10,48734
2231155,100,CHE,51,14,35889
2231164,100,HON,33,11,46440
2231244,110,KIA,68,14,18090
2231255,100,INF,33,14,52200
2231274,100,DOD,55,15,130246
2231274,100,DOD,55,15,130246
2231274,110,CHR,55,15,130246
2231345,110,CHE,50,13,100000
2231365,100,NIS,35,16,-280
2231365,110,NIS,35,16,-280
2231394,110,CHE,35,14,0
2231394,110,CHE,35,14,0
2231444,100,NIS,40,11,22800
2231464,110,HON,75,12,1157
2231495,110,CHE,61,14,48185
2231495,110,DOD,61,14,48185
2231524,100,BMW,63,13,0
2231524,100,BMW,63,13,0
2231524,110,FOR,63,13,0
2231545,100,ACU,47,12,36000
2231555,100,DOD,43,14,67685
2231555,110,FOR,43,14,67685
2231565,100,CAD,62,12,79805
2231565,100,CHE,62,12,79805
2231595,110,FOR,42,14,44157
2231605,100,PON,28,12,50005
2231614,100,HON,42,16,94454
2231614,100,DOD,42,16,94454
2231705,110,GMC,38,13,61883
2231705,110,FOR,38,13,61883
2231705,100,TOY,38,13,61883
2231725,100,NIS,56,10,69264
2231725,110,FOR,56,10,69264
2231734,110,FOR,68,12,51843
2231734,110,FOR,68,12,51843
2231745,110,JEE,62,16,77146
2231745,110,JEE,62,16,77146
2231754,110,TOY,28,13,37876
2231784,110,TOY,64,10,9630
2231824,110,JEE,52,17,278973
2231824,100,MIN,52,17,278973
2231965,100,BUI,33,15,95100
2232035,110,NIS,45,12,39327
2232035,100,CHE,45,12,39327
2232035,100,CHR,45,12,39327
2232094,100,VOK,87,12,1217
2232104,100,PON,73,12,83287
2232104,110,FOR,73,12,83287
2232144,100,CHR,65,12,0
2232144,110,NIS,65,12,0
2232244,110,TOY,45,15,0
2232244,100,MAZ,45,15,0
2232244,110,TOY,45,15,0
2232254,110,FOR,35,11,7615
2232285,110,JEE,56,13,15700
2232285,100,JAG,56,13,15700
2232294,100,MAZ,48,15,212935
2232294,110,CHE,48,15,212935
2232364,100,PON,50,11,0
2232364,100,PON,50,11,0
2232364,100,FOR,50,11,0
2232364,110,FOR,50,11,0
2232374,100,HON,29,11,91960
2232374,100,HYU,29,11,91960
2232394,100,NIS,53,16,"-67,698"
2232394,110,FOR,53,16,"-67,698"
2232394,100,VOK,53,16,"-67,698"
2232414,100,FOR,63,13,95770
2232414,110,CHE,63,13,95770
2232414,110,KIA,63,13,95770
2232445,110,HON,76,14,15737
2232504,110,DOD,68,13,"-77,169"
2232504,100,CHE,68,13,"-77,169"
2232504,100,CHE,68,13,"-77,169"
2232504,110,DOD,68,13,"-77,169"
2232524,110,TOY,55,15,40219
2232555,100,NIS,56,12,55000
2232574,100,AUD,33,13,58000
2232574,110,GMC,33,13,58000
2232584,110,FOR,42,13,154910
2232584,110,FOR,42,13,154910
2232625,100,LEX,75,16,164314
2232625,110,TOY,75,16,164314
2232644,100,MEC,30,15,26290
2232695,100,DOD,71,13,23750
2232695,110,CHR,71,13,23750
2232704,100,HYU,34,15,21700
2232704,110,CHE,34,15,21700
2232704,100,TOY,34,15,21700
2232714,100,HON,43,16,43358
2232725,100,BUI,19,11,49000
2232725,110,FOR,19,11,49000
2232725,100,FOR,19,11,49000
2232725,100,TOY,19,11,49000
2232734,100,TOY,57,15,0
2232755,100,BUI,78,11,17734
2232755,100,BUI,78,11,17734
2232774,100,DOD,25,10,19760
2232774,110,FOR,25,10,19760
2232774,110,FOR,25,10,19760
2232774,110,FOR,25,10,19760
2232795,110,FOR,40,10,28321
2232814,100,TOY,27,14,24000
2232855,100,KIA,54,12,0
2232855,100,FOR,54,12,0
2232855,100,MEC,54,12,0
2232855,100,KIA,54,12,0
2232954,100,VOV,87,11,8837
2232975,110,DOD,34,13,280622
2232975,110,CHE,34,13,280622
2233015,110,FOR,61,15,107101
2233015,100,TOY,61,15,107101
2233015,110,FOR,61,15,107101
2233024,100,CAD,78,12,15081
2233024,110,FOR,78,12,15081
2233035,110,JEE,37,15,298483
2233144,110,TOY,60,15,68425
2233144,100,TOY,60,15,68425
2233165,110,FOR,49,13,0
2233194,110,JEE,67,15,68552
2233225,100,PON,87,11,10757
2233245,100,FOR,49,11,17600
2233245,100,HYU,49,11,17600
2233315,100,FOR,50,13,66970
2233315,100,MAZ,50,13,66970
2233315,110,ISU,50,13,66970
2233344,110,CHR,58,15,156000
2233344,110,FOR,58,15,156000
2233385,100,TOY,60,12,118443
2233385,100,MAZ,60,12,118443
2233385,100,HON,60,12,118443
2233385,100,TOY,60,12,118443
2233395,110,PON,39,15,35744
2233424,110,FOR,22,12,46000
2233424,100,TOY,22,12,46000
2233435,100,SUB,46,13,30134
2233435,100,VOV,46,13,30134
2233435,100,CAD,46,13,30134
2233444,100,TOY,50,13,59857
2233454,100,CAD,33,14,38595
2233475,110,FOR,42,12,0
2233494,110,CHE,43,12,43000
2233505,100,NIS,46,14,0
2233505,110,NIS,46,14,0
2233554,110,CHE,34,12,57984
2233554,110,FOR,34,12,57984
2233554,100,LEX,34,12,57984
2233575,110,FOR,69,13,56224
2233575,110,FOR,69,13,56224
2233654,100,MEC,87,12,1157
2233664,100,DOD,25,13,0
2233685,100,CHR,64,15,1157
2233694,100,VOK,40,15,0
2233694,100,NIS,40,15,0
2233755,100,HYU,70,16,58803
2233774,110,GMC,28,14,28967
2233774,110,PON,28,14,28967
2233805,100,BMW,31,16,-600
2233835,110,CHE,54,14,57000
2233835,110,CHE,54,14,57000
2233835,100,CHE,54,14,57000
2233915,100,PON,81,11,22592
2233974,100,MIT,41,15,98100
