2272204,72,12,500
2321833,65,15,1183
2363285,18,12,4075
2314913,38,16,4968
2235445,34,13,14000
2296825,64,15,14067
2260884,38,15,16782
2365382,59,15,17816
2234714,37,11,18101
2314813,57,16,19302
2290895,63,16,24273
2379724,20,13,25000
2270505,63,13,29613
2312943,24,12,30000
2241605,49,16,34000
2241605,49,16,34000
2280355,46,14,38526
2344822,44,12,40853
2332583,59,15,42050
2302954,59,15,42071
2334683,68,15,46522
2337123,43,13,48200
2334273,36,15,52300
2318403,74,10,54313
2318403,74,10,54313
2318403,74,10,54313
2304335,24,15,60000
2308403,41,15,60005
2322963,54,14,64000
2283415,40,12,67000
2355542,41,12,67000
2353662,60,11,67257
2330333,26,12,67601
2407175,44,13,70866
2407175,44,13,70866
2294194,49,14,71415
2285235,37,15,72776
2308973,38,13,74781
2255315,49,15,75000
2366132,78,15,80000
2260314,43,15,81891
2291974,24,12,84892
2329423,57,12,85512
2355632,58,12,87100
2355632,58,12,87100
2343125,30,14,88556
2235745,40,16,89164
2279625,40,15,93300
2349682,30,14,111100
2351062,54,13,114621
2351062,54,13,114621
2368222,63,15,115067
2294164,47,14,121245
2234144,60,14,126220
2234144,60,14,126220
2273184,45,17,137200
2262504,61,15,139000
2262175,55,16,142850
2234244,66,16,143123
2386075,40,13,144000
2324703,36,15,145000
2267374,43,16,147353
2371772,60,16,147806
2356462,60,15,150000
2309193,39,15,153700
2338333,32,15,153817
2329603,51,15,154900
2319013,40,12,162100
2364652,47,15,177466
2286795,62,15,185267
2310643,52,12,190725
2342702,59,15,191000
2302315,52,15,205100
2348292,35,16,227650
2253394,56,16,280522
2314543,36,15,284216
2273484,39,17,296801
2273484,39,17,296801
2373592,31,17,300000
2236545,50,16,354922
2374232,35,16,378034
2341453,46,15,380148
2241095,33,17,382681
2241095,33,17,382681
2267074,64,16,417000
2374422,54,13,453845
